Irányítószám,Település,Megye
8128,Aba,Fejér
8127,Aba,Fejér
5241,Abádszalók,Jász-Nagykun-Szolnok
7678,Abaliget,Baranya
3261,Abasár,Heves
3882,Abaújalpár,Borsod-Abaúj-Zemplén
3882,Abaújkér,Borsod-Abaúj-Zemplén
3815,Abaújlak,Borsod-Abaúj-Zemplén
3881,Abaújszántó,Borsod-Abaúj-Zemplén
3809,Abaújszolnok,Borsod-Abaúj-Zemplén
3898,Abaújvár,Borsod-Abaúj-Zemplén
9151,Abda,Gyõr-Moson-Sopron
3753,Abod,Borsod-Abaúj-Zemplén
2740,Abony,Pest
8256,Ábrahámhegy,Veszprém
2941,Ács,Komárom-Esztergom
2683,Acsa,Pest
9746,Acsád,Vas
9168,Acsalag,Gyõr-Moson-Sopron
2887,Ácsteszér,Komárom-Esztergom
3292,Adács,Heves
8653,Ádánd,Somogy
8561,Adásztevel,Veszprém
2457,Adony,Fejér
8497,Adorjánháza,Veszprém
7841,Adorjás,Baranya
7381,Ág,Baranya
6076,Ágasegyháza,Bács-Kiskun
9423,Ágfalva,Gyõr-Moson-Sopron
3759,Aggtelek,Borsod-Abaúj-Zemplén
9441,Agyagosszergény,Gyõr-Moson-Sopron
4524,Ajak,Szabolcs-Szatmár-Bereg
8447,Ajka,Veszprém
8448,Ajka,Veszprém
8451,Ajka,Veszprém
8400,Ajka,Veszprém
2862,Aka,Komárom-Esztergom
6221,Akasztó,Bács-Kiskun
3779,Alacska,Borsod-Abaúj-Zemplén
7011,Alap,Fejér
5142,Alattyán,Jász-Nagykun-Szolnok
2730,Albertirsa,Pest
8087,Alcsútdoboz,Fejér
3353,Aldebrõ,Heves
6750,Algyõ,Csongrád
8921,Alibánfa,Zala
7934,Almamellék,Baranya
2931,Almásfüzitõ,Komárom-Esztergom
8935,Almásháza,Zala
5747,Almáskamarás,Békés
7932,Almáskeresztúr,Baranya
4285,Álmosd,Hajdú-Bihar
3985,Alsóberecki,Borsod-Abaúj-Zemplén
7443,Alsóbogát,Somogy
3717,Alsódobsza,Borsod-Abaúj-Zemplén
3837,Alsógagy,Borsod-Abaúj-Zemplén
7345,Alsómocsolád,Baranya
7147,Alsónána,Tolna
2351,Alsónémedi,Pest
8924,Alsónemesapáti,Zala
7148,Alsónyék,Tolna
8226,Alsóörs,Veszprém
8394,Alsópáhok,Zala
2617,Alsópetény,Nógrád
8767,Alsórajk,Zala
3989,Alsóregmec,Borsod-Abaúj-Zemplén
8973,Alsószenterzsébet,Zala
7012,Alsószentiván,Fejér
7826,Alsószentmárton,Baranya
9983,Alsószölnök,Vas
3726,Alsószuha,Borsod-Abaúj-Zemplén
3735,Alsótelekes,Borsod-Abaúj-Zemplén
3069,Alsótold,Nógrád
9842,Alsóújlak,Vas
3811,Alsóvadász,Borsod-Abaúj-Zemplén
3571,Alsózsolca,Borsod-Abaúj-Zemplén
6916,Ambrózfalva,Csongrád
4546,Anarcs,Szabolcs-Szatmár-Bereg
8675,Andocs,Somogy
3399,Andornaktálya,Heves
9811,Andrásfa,Vas
2529,Annavölgy,Komárom-Esztergom
8477,Apácatorna,Veszprém
4553,Apagy,Szabolcs-Szatmár-Bereg
2345,Apaj,Pest
7186,Aparhant,Tolna
